날짜,매수 종목수,매도 종목수,남은 종목수,일일수익률,누적수익률,총자산,남은 현금
20170102,1,0,1,-0.02,-0.02,9998500.00,8021244.00
20170103,4,1,4,-0.63,-0.65,9935043.00,2005117.00
20170104,1,4,1,-1.34,-1.98,9801889.00,7831470.00
20170105,1,1,1,-0.25,-2.23,9776949.00,7857829.00
20170106,1,1,1,1.09,-1.17,9883160.00,7844440.00
20170109,1,1,1,1.06,-0.12,9988086.00,8051796.00
20170110,1,1,1,-0.63,-0.75,9924830.00,7906810.00
20170111,3,1,3,1.38,0.62,10062183.00,4073803.00
20170112,2,3,2,0.10,0.72,10072098.00,6117018.00
20170113,0,2,0,0.19,0.92,10091680.00,10091680.00
20170116,5,0,5,-2.40,-1.51,9849452.00,118883.00
20170117,0,5,0,0.35,-1.16,9883913.00,9883913.00
20170118,0,0,0,0.00,-1.16,9883913.00,9883913.00
20170119,4,0,4,0.67,-0.50,9950043.00,2158393.00
20170120,0,4,0,0.42,-0.08,9991908.00,9991908.00
20170123,0,0,0,0.00,-0.08,9991908.00,9991908.00
20170124,0,0,0,0.00,-0.08,9991908.00,9991908.00
20170125,0,0,0,0.00,-0.08,9991908.00,9991908.00
20170126,0,0,0,0.00,-0.08,9991908.00,9991908.00
20170131,2,0,2,1.20,1.12,10112223.00,6051244.00
20170201,0,2,0,1.52,2.66,10266405.00,10266405.00
20170202,1,0,1,-0.18,2.48,10247985.00,8234065.00
20170203,0,1,0,-0.05,2.43,10242561.00,10242561.00
20170206,0,0,0,0.00,2.43,10242561.00,10242561.00
20170207,3,0,3,-0.80,1.60,10160421.00,4213086.00
20170208,0,3,0,-0.12,1.48,10148101.00,10148101.00
20170209,0,0,0,0.00,1.48,10148101.00,10148101.00
20170210,1,0,1,-0.13,1.35,10135201.00,8170101.00
20170213,0,1,0,-0.05,1.30,10130472.00,10130472.00
20170214,2,0,2,1.03,2.35,10235085.00,6121974.00
20170215,2,2,2,-1.62,0.69,10069302.00,6137992.00
20170216,1,2,1,0.47,1.17,10116724.00,8231724.00
20170217,1,1,1,0.86,2.04,10203857.00,8110552.00
20170220,1,1,1,1.18,3.24,10324233.00,8229273.00
20170221,3,1,3,-1.74,1.45,10144922.00,4211858.00
20170222,2,3,2,1.12,2.58,10258207.00,6152377.00
20170223,1,2,1,1.00,3.61,10360607.00,8244319.00
20170224,1,1,1,0.20,3.81,10381167.00,8341367.00
20170227,0,1,0,-0.05,3.76,10375980.00,10375980.00
20170228,0,0,0,0.00,3.76,10375980.00,10375980.00
20170302,0,0,0,0.00,3.76,10375980.00,10375980.00
20170303,0,0,0,0.00,3.76,10375980.00,10375980.00
20170306,0,0,0,0.00,3.76,10375980.00,10375980.00
20170307,2,0,2,0.76,4.55,10455275.00,6270105.00
20170308,2,2,2,0.66,5.24,10523917.00,6309322.00
20170309,2,2,2,0.80,6.08,10607817.00,6394537.00
20170310,2,2,2,0.88,7.01,10700899.00,6391499.00
20170313,1,2,1,0.34,7.38,10737602.00,8611552.00
20170314,2,1,2,-0.34,7.01,10700558.00,6489728.00
20170315,3,2,3,-0.11,6.89,10689133.00,4392359.00
20170316,1,3,1,1.16,8.13,10813398.00,8707998.00
20170317,3,1,3,0.61,8.80,10879786.00,4422056.00
20170320,1,3,1,-0.58,8.16,10816310.00,8698800.00
20170321,0,1,0,-0.06,8.09,10809318.00,10809318.00
20170322,4,0,4,7.48,16.18,11618178.00,2271298.00
20170323,0,4,0,-1.91,13.96,11396270.00,11396270.00
20170324,0,0,0,0.00,13.96,11396270.00,11396270.00
20170327,5,0,5,-3.42,10.07,11006635.00,141645.00
20170328,0,5,0,-0.02,10.04,11004248.00,11004248.00
20170329,3,0,3,1.13,11.28,11128258.00,4470678.00
20170330,1,3,1,0.86,12.24,11223851.00,8942189.00
20170331,3,1,3,-2.88,9.00,10900490.00,4655013.00
20170403,2,3,2,0.45,9.49,10949065.00,6563909.00
20170404,2,2,2,-3.74,5.39,10539124.00,6125994.00
20170405,0,2,0,0.80,6.23,10623098.00,10623098.00
20170406,3,0,3,4.82,11.35,11135198.00,4314208.00
20170407,1,3,1,2.54,14.18,11418014.00,9083564.00
20170410,2,1,2,1.46,15.85,11584754.00,7037504.00
20170411,0,2,0,0.67,16.63,11662615.00,11662615.00
20170412,3,0,3,-1.07,15.38,11537945.00,4756946.00
20170413,2,3,2,0.07,15.46,11545985.00,7000298.00
20170414,3,2,3,0.69,16.26,11625836.00,4775056.00
20170417,0,3,0,0.42,16.74,11674431.00,11674431.00
20170418,5,0,5,4.38,21.86,12185971.00,827891.00
20170419,0,5,0,0.49,22.46,12246219.00,12246219.00
20170420,4,0,4,-0.30,22.10,12210039.00,2562394.00
20170421,1,4,1,0.27,22.42,12242443.00,9810343.00
20170424,2,1,2,0.45,22.98,12297624.00,7404324.00
20170425,0,2,0,0.27,23.31,12331106.00,12331106.00
20170426,0,0,0,0.00,23.31,12331106.00,12331106.00
20170427,4,0,4,0.48,23.91,12390736.00,2605482.00
20170428,0,4,0,0.01,23.92,12392422.00,12392422.00
