날짜,매수 종목수,매도 종목수,남은 종목수,일일수익률,누적수익률,총자산,남은 현금
20170102,5,2,3,2.38,2.38,10238466.00,7187395.00
20170103,3,2,4,0.44,2.83,10283430.00,6184455.00
20170104,2,3,3,-0.91,1.90,10190290.00,7221886.00
20170105,3,1,5,0.80,2.72,10271888.00,5187049.00
20170106,5,2,8,0.23,2.96,10295634.00,2158412.00
20170109,1,4,5,0.53,3.51,10350602.00,5318526.00
20170110,3,5,3,0.73,4.26,10425836.00,7345086.00
20170111,4,1,6,-0.29,3.96,10395646.00,4788070.00
20170112,2,3,5,0.99,4.99,10498615.00,5853816.00
20170113,4,6,3,-0.22,4.76,10475942.00,7417116.00
20170116,6,4,5,0.55,5.34,10533620.00,5456525.00
20170117,4,3,6,-0.33,4.99,10499338.00,4304158.00
20170118,4,5,5,-0.01,4.98,10497785.00,5379258.00
20170119,4,2,7,1.54,6.60,10659893.00,3356570.00
20170120,2,7,2,0.28,6.90,10689678.00,8639708.00
20170123,5,1,6,-0.69,6.16,10615867.00,4309831.00
20170124,4,6,4,-0.02,6.14,10613526.00,6601633.00
20170125,3,4,3,1.07,7.27,10727022.00,7538966.00
20170126,4,2,5,0.49,7.80,10780027.00,5441525.00
20170131,1,4,2,1.99,9.95,10994835.00,8802210.00
20170201,3,2,3,0.40,10.39,11038715.00,7728684.00
20170202,4,1,6,-0.82,9.48,10947765.00,4551560.00
20170203,2,3,5,1.54,11.16,11116195.00,5610465.00
20170206,3,5,3,-0.12,11.02,11102360.00,7856770.00
20170207,2,0,5,-0.07,10.95,11094895.00,5662765.00
20170208,4,5,4,0.22,11.20,11119507.00,6774907.00
20170209,4,3,5,2.12,13.55,11355476.00,5743866.00
20170210,1,4,2,-0.94,12.48,11248303.00,9120823.00
20170213,5,1,6,0.64,13.21,11320567.00,4633812.00
20170214,4,4,6,2.84,16.42,11642279.00,4861919.00
20170215,2,4,4,1.38,18.03,11803305.00,7186030.00
