날짜,매수 종목수,매도 종목수,남은 종목수,일일수익률,누적수익률,총자산,남은 현금
20170102,0,0,0,0.00,0.00,10000000.00,10000000.00
20170103,3,0,3,-0.22,-0.22,9977564.00,6816650.00
20170104,3,3,3,0.22,0.00,9999963.00,7403243.00
20170105,2,3,2,0.62,0.62,10061782.00,7102282.00
20170106,3,2,3,1.51,2.14,10213825.00,7478105.00
20170109,1,3,1,1.32,3.48,10348350.00,9418470.00
20170110,3,1,3,0.18,3.67,10366502.00,7340727.00
20170111,4,3,4,1.64,5.37,10536775.00,4881575.00
20170112,2,4,2,0.06,5.43,10543308.00,7493058.00
20170113,4,2,4,3.69,9.32,10931931.00,5049766.00
20170116,2,4,2,-0.21,9.09,10909121.00,7777121.00
20170117,1,2,1,0.36,9.48,10948072.00,10632172.00
20170118,4,1,4,-0.18,9.28,10928490.00,6037530.00
20170119,2,4,2,-0.38,8.87,10887375.00,7909250.00
20170120,1,2,1,0.56,9.48,10947932.00,9720332.00
20170123,2,1,2,-0.66,8.76,10876037.00,8716367.00
20170124,3,2,3,-2.55,5.99,10598730.00,6701690.00
20170125,1,3,1,0.01,6.00,10599677.00,9081902.00
20170126,1,1,1,0.09,6.09,10608910.00,9600910.00
20170131,2,1,2,0.39,6.50,10649969.00,8451119.00
20170201,1,2,1,0.03,6.53,10653069.00,10351569.00
20170202,0,1,0,0.05,6.59,10658555.00,10658555.00
20170203,2,0,2,0.62,7.25,10724975.00,7585325.00
20170206,2,2,2,0.25,7.51,10751434.00,8467834.00
20170207,1,2,1,-1.73,5.65,10565296.00,9107296.00
20170208,0,1,0,-0.05,5.60,10560470.00,10560470.00
20170209,0,0,0,0.00,5.60,10560470.00,10560470.00
20170210,0,0,0,0.00,5.60,10560470.00,10560470.00
20170213,0,0,0,0.00,5.60,10560470.00,10560470.00
20170214,1,0,1,0.07,5.68,10568084.00,10254030.00
20170215,2,1,2,-0.90,4.73,10473399.00,7524849.00
20170216,1,2,1,0.38,5.13,10512759.00,9062759.00
20170217,0,1,0,-0.05,5.08,10507977.00,10507977.00
20170220,1,0,1,0.33,5.43,10542627.00,9603027.00
20170221,4,1,4,-0.70,4.68,10468331.00,7493011.00
20170222,1,4,1,0.32,5.02,10502352.00,8967402.00
20170223,3,1,3,0.48,5.53,10553069.00,9292905.00
20170224,3,3,3,0.06,5.59,10558905.00,6273560.00
20170227,3,3,3,0.49,6.11,10610516.00,8923726.00
20170228,3,3,3,-0.10,6.00,10600330.00,7279560.00
20170302,0,3,0,0.04,6.04,10604056.00,10604056.00
20170303,1,0,1,0.00,6.04,10604056.00,9061531.00
20170306,2,1,2,0.54,6.62,10661545.00,9105535.00
20170307,0,2,0,0.41,7.05,10704729.00,10704729.00
20170308,3,0,3,0.69,7.78,10778154.00,6035429.00
20170309,2,3,2,0.18,7.98,10797775.00,8600895.00
20170310,1,2,1,0.45,8.46,10846280.00,9216530.00
20170313,1,1,1,0.25,8.73,10872993.00,9282243.00
20170314,1,1,1,-0.06,8.67,10866685.00,9281985.00
20170315,4,1,4,0.11,8.79,10879097.00,6450362.00
20170316,2,4,2,0.28,9.09,10909179.00,8684339.00
20170317,3,2,3,0.62,9.77,10976745.00,8690795.00
20170320,1,3,1,-0.52,9.20,10919926.00,9710766.00
20170321,4,1,4,1.16,10.47,11047047.00,5592457.00
20170322,2,4,2,1.29,11.90,11189754.00,7933254.00
20170323,2,2,2,-0.58,11.25,11124890.00,7882590.00
20170324,2,2,2,0.37,11.67,11166507.00,9141762.00
20170327,3,2,3,-2.19,9.22,10922002.00,7280077.00
20170328,4,3,4,-0.03,9.19,10918898.00,4646898.00
20170329,1,4,1,-0.09,9.09,10908962.00,9333962.00
20170330,1,1,1,0.27,9.39,10938564.00,9953364.00
20170331,2,1,2,0.08,9.47,10947076.00,9024072.00
20170403,1,2,1,0.73,10.27,11026670.00,9402170.00
20170404,4,1,4,-4.21,5.62,10562210.00,6525892.00
20170405,3,4,3,1.75,7.47,10746833.00,8452733.00
20170406,2,3,2,2.12,9.75,10974714.00,7710164.00
20170407,4,2,4,1.18,11.04,11104185.00,7852935.00
20170410,3,4,3,0.37,11.45,11144769.00,7634299.00
20170411,2,3,2,-0.14,11.29,11129489.00,7918639.00
20170412,2,2,2,-0.37,10.88,11088106.00,7920331.00
20170413,2,2,2,0.05,10.94,11093694.00,7884444.00
20170414,4,2,4,0.23,11.19,11118796.00,7034046.00
20170417,3,4,3,0.30,11.52,11152179.00,6483429.00
20170418,3,3,3,0.39,11.96,11195853.00,7304933.00
20170419,3,3,3,-0.96,10.88,11088228.00,8247883.00
20170420,3,3,3,-1.06,9.71,10970653.00,6301753.00
20170421,2,3,2,0.31,10.05,11004567.00,8202967.00
20170424,3,2,3,0.59,10.69,11069365.00,8152315.00
20170425,2,3,2,0.25,10.97,11096537.00,9152737.00
