날짜,매수 종목수,매도 종목수,남은 종목수,일일수익률,누적수익률,총자산,남은 현금
20170102,1,0,1,-0.23,-0.23,9977155.00,8515075.00
20170103,1,0,2,0.03,-0.20,9979670.00,7037775.00
20170104,1,0,3,-0.23,-0.44,9956285.00,5567775.00
20170105,0,1,2,-0.26,-0.69,9930515.00,7046315.00
20170106,1,1,2,0.32,-0.38,9962025.00,6981055.00
20170109,2,1,3,0.30,-0.08,9991840.00,5554020.00
20170110,0,1,2,-0.48,-0.56,9944241.00,7030131.00
20170111,4,1,5,0.39,-0.17,9983082.00,2539342.00
20170112,1,2,4,0.14,-0.03,9997032.00,4039554.00
20170113,1,1,4,0.40,0.37,10036814.00,4075672.00
20170116,1,2,3,-0.80,-0.43,9956578.00,5631028.00
20170117,3,1,5,0.16,-0.28,9972292.00,3832052.00
20170118,2,1,6,0.43,0.15,10014677.00,2399811.00
20170119,1,2,5,1.65,1.80,10179566.00,2620945.00
20170120,1,4,2,0.64,2.45,10244778.00,7260978.00
20170123,2,0,4,-0.86,1.57,10156815.00,4222673.00
20170124,2,1,5,0.50,2.07,10207331.00,2748043.00
20170125,1,3,3,0.05,2.12,10212485.00,5816907.00
20170126,2,1,4,1.70,3.86,10386333.00,4224713.00
20170131,1,1,4,0.10,3.97,10397217.00,4329642.00
20170201,0,1,3,0.04,4.01,10401254.00,5843589.00
20170202,0,1,2,-0.39,3.60,10360360.00,7340905.00
20170203,2,2,2,-2.26,1.26,10126478.00,7192974.00
20170206,0,0,2,-0.07,1.19,10119429.00,7192974.00
20170207,0,0,2,-0.64,0.55,10054598.00,7192974.00
20170208,3,2,3,1.44,1.99,10199005.00,5788585.00
20170209,0,2,1,0.13,2.12,10212020.00,8776820.00
20170210,1,0,2,1.66,3.81,10381230.00,7260620.00
20170213,3,1,4,-0.11,3.69,10369358.00,4261923.00
20170214,0,1,3,-0.24,3.45,10344506.00,5803671.00
20170215,3,1,5,1.00,4.48,10448182.00,2714757.00
20170216,1,2,5,-0.19,4.28,10428327.00,2749195.00
20170217,1,1,5,-0.26,4.01,10401001.00,2673092.00
20170220,0,4,1,0.27,4.29,10428862.00,8915572.00
20170221,1,0,2,0.15,4.45,10444732.00,7368952.00
20170222,0,1,1,-0.02,4.43,10442611.00,8869171.00
20170223,2,0,3,0.69,5.14,10514380.00,5787005.00
20170224,2,1,4,-1.47,3.59,10359385.00,4309436.00
20170227,0,0,4,0.47,4.08,10408315.00,4309436.00
20170228,2,2,4,-1.24,2.79,10279490.00,4230530.00
20170302,1,2,3,-0.86,1.91,10191466.00,5681744.00
20170303,3,0,6,0.14,2.06,10205880.00,1153799.00
20170306,0,4,2,-0.85,1.20,10119548.00,7168003.00
20170307,2,1,3,0.19,1.39,10138647.00,5660022.00
20170308,0,1,2,0.09,1.47,10147290.00,7138085.00
20170309,0,2,0,-0.17,1.30,10129720.00,10129720.00
20170310,2,0,2,0.71,2.02,10202035.00,7127870.00
20170313,0,2,0,-0.23,1.79,10178577.00,10178577.00
20170314,2,0,2,0.07,1.86,10186207.00,7161177.00
20170315,3,1,4,-0.84,1.01,10100519.00,4152759.00
20170316,0,0,4,0.47,1.48,10148179.00,4152759.00
20170317,2,3,3,0.48,1.97,10197257.00,5620397.00
20170320,0,3,0,-0.42,1.55,10154831.00,10154831.00
20170321,5,0,5,0.19,1.74,10174101.00,2626053.00
20170322,0,0,5,-1.07,0.66,10065725.00,2626053.00
20170323,1,1,5,-1.89,-1.25,9875468.00,2643478.00
20170324,1,4,2,2.35,1.08,10107924.00,7141049.00
20170327,1,0,3,-0.77,0.30,10030314.00,5649804.00
20170328,0,1,2,-0.04,0.26,10026466.00,7084081.00
20170329,1,1,2,0.02,0.29,10028639.00,7066519.00
20170330,0,1,1,-0.26,0.02,10002461.00,8533061.00
