날짜,매수 종목수,매도 종목수,남은 종목수,일일수익률,누적수익률,총자산,남은 현금
20170102,6,0,6,-0.01,-0.01,9998600.00,1109672.00
20170103,0,1,5,0.40,0.39,10038928.00,2643757.00
20170104,1,0,6,1.73,2.12,10212327.00,1158757.00
20170105,0,5,1,0.07,2.20,10219955.00,8730005.00
20170106,5,0,6,-1.12,1.05,10104990.00,1169237.00
20170109,0,1,5,-0.61,0.43,10043324.00,2707035.00
20170110,1,1,5,-0.31,0.13,10012604.00,2684767.00
20170111,1,4,2,0.91,1.03,10103483.00,7081433.00
20170112,4,1,5,0.29,1.32,10132439.00,2646828.00
20170113,1,2,4,-0.42,0.90,10089716.00,4185757.00
20170116,2,1,5,-1.21,-0.32,9967780.00,2697280.00
20170117,1,2,4,-0.10,-0.42,9957529.00,3964809.00
20170118,2,1,5,0.48,0.05,10005209.00,2513482.00
20170119,1,2,4,1.47,1.52,10152219.00,4068807.00
20170120,2,4,2,0.20,1.72,10172323.00,7204373.00
20170123,4,0,6,-0.98,0.73,10073068.00,1171338.00
20170124,0,1,5,0.80,1.53,10153408.00,2696568.00
20170125,1,2,4,-0.21,1.33,10132543.00,4159523.00
20170126,2,3,3,2.39,3.74,10374422.00,5590477.00
20170131,3,1,5,-1.12,2.59,10258680.00,2612443.00
20170201,1,1,6,1.85,4.49,10448688.00,2161839.00
20170202,1,5,2,-2.92,1.43,10143339.00,8231849.00
20170203,5,1,6,-1.61,-0.20,9979558.00,1930274.00
20170206,1,0,7,3.52,3.31,10330796.00,449234.00
20170207,0,4,3,-0.96,2.32,10231551.00,6679108.00
20170208,4,2,5,-0.24,2.07,10207187.00,2690887.00
20170209,0,3,2,0.12,2.19,10218943.00,7290108.00
20170210,0,0,2,5.97,8.29,10828503.00,7290108.00
20170213,4,2,4,2.93,11.46,11146032.00,4586102.00
20170214,2,2,4,-0.59,10.80,11080004.00,4575194.00
20170215,2,1,5,0.91,11.81,11181180.00,2999038.00
20170216,1,2,4,0.70,12.60,11259560.00,4631634.00
20170217,2,2,4,1.26,14.01,11401293.00,4692591.00
20170220,2,2,4,0.23,14.27,11427415.00,4742170.00
20170221,2,0,6,0.73,15.11,11510865.00,1351690.00
20170222,0,2,4,0.90,16.15,11614650.00,4675530.00
20170223,2,3,4,-0.90,15.10,11510061.00,5640406.00
20170224,3,2,5,-2.42,12.31,11231420.00,2960553.00
20170227,1,0,6,0.03,12.34,11234343.00,1294393.00
20170228,0,2,4,-0.66,11.60,11160177.00,4627051.00
20170302,2,3,3,-0.04,11.56,11156083.00,6148248.00
20170303,3,1,5,0.80,12.46,11245833.00,2883053.00
20170306,0,4,1,-0.25,12.18,11217627.00,9621627.00
20170307,0,0,1,0.08,12.27,11227127.00,9621627.00
20170308,5,1,5,-0.15,12.10,11209768.00,4574758.00
20170309,2,1,6,1.47,13.74,11374273.00,2894107.00
20170310,1,1,6,2.79,16.92,11691501.00,3200999.00
20170313,0,5,2,0.05,16.97,11697293.00,9101991.00
20170314,5,2,5,-0.46,16.43,11642947.00,3022858.00
20170315,1,1,5,0.20,16.66,11666126.00,3044874.00
20170316,1,1,5,0.61,17.38,11737822.00,3183094.00
20170317,1,4,2,-3.17,13.66,11365504.00,7908599.00
20170320,4,1,5,-1.61,11.83,11182918.00,2912033.00
20170321,1,1,5,-0.57,11.19,11119173.00,2894173.00
20170322,1,0,6,-1.04,10.04,11003918.00,1261173.00
20170323,0,5,1,-0.22,9.79,10979305.00,9341485.00
20170324,5,1,5,-0.34,9.42,10941773.00,2853493.00
20170327,1,1,5,-0.34,9.05,10904700.00,2880145.00
20170328,1,0,6,1.43,10.61,11060725.00,1260945.00
20170329,0,6,1,0.21,10.84,11084122.00,9931722.00
20170330,6,1,6,0.97,11.91,11191218.00,1321330.00
20170331,0,2,4,9.24,22.26,12225778.00,4700411.00
20170403,2,2,4,3.66,26.73,12673191.00,5684221.00
20170404,3,2,5,-1.73,24.54,12454178.00,3333293.00
20170405,1,0,6,1.97,26.99,12698948.00,1484543.00
20170406,0,4,2,-0.45,26.42,12641592.00,8922082.00
20170407,4,1,5,-1.01,25.14,12513508.00,3302988.00
20170410,1,1,5,-2.26,22.30,12230254.00,3261242.00
20170411,1,0,6,-0.59,21.58,12158121.00,1445652.00
20170412,0,5,1,0.56,22.27,12226624.00,10469458.00
20170413,5,1,5,2.46,25.27,12526814.00,3196966.00
20170414,1,1,5,-2.72,21.86,12186041.00,3328539.00
20170417,1,0,6,0.67,22.67,12267080.00,1526455.00
20170418,0,4,2,0.22,22.95,12294582.00,8620287.00
20170419,4,2,4,-0.42,22.43,12243129.00,5029850.00
20170420,2,0,6,4.54,27.99,12798668.00,1403445.00
20170421,0,3,3,-0.13,27.82,12782147.00,7593623.00
20170424,4,2,5,-2.39,24.77,12476737.00,3340267.00
20170425,1,1,5,0.66,25.59,12559027.00,3283072.00
20170426,1,2,4,-1.48,23.73,12373365.00,5202060.00
20170427,2,3,3,-0.50,23.12,12311955.00,6871365.00
20170428,3,0,6,-0.93,21.97,12197025.00,1394995.00
20170502,0,2,4,-4.44,16.56,11655507.00,4912637.00
20170504,2,2,4,1.79,18.64,11863931.00,4914831.00
20170508,2,4,2,0.01,18.65,11864747.00,9930077.00
20170510,5,1,6,-0.28,18.32,11831939.00,1385514.00
20170511,0,2,4,1.37,19.94,11994130.00,4957242.00
20170512,2,2,4,0.15,20.13,12012652.00,4961987.00
20170515,2,2,4,1.01,21.34,12133670.00,4883126.00
20170516,2,3,3,-1.63,19.35,11935300.00,6657910.00
20170517,3,2,4,-0.54,18.71,11871267.00,4807337.00
