,朝楼,YearMonth,老老荐劳伏_714157,老老荐劳伏_714207,老老荐劳伏_714243,老老荐劳伏_Opt,穿利荐劳伏,弥绊穿利,DD,MDD
138,20170725,201707,-0.002,-0.0154,-0.0126,-0.0077068499999999995,1.7892539737597704,1.80315058484458,-0.007706850000000043,-0.023146274024927416
139,20170726,201707,-0.0032,0.0109,0.0116,0.0031509269999999995,1.7948917824155475,1.80315058484458,-0.004580206721749858,-0.023146274024927416
140,20170727,201707,-0.0034000000000000002,-0.0046,0.0177,-0.0018190279999999999,1.7916268240063637,1.80315058484458,-0.00639090319747726,-0.023146274024927416
141,20170728,201707,0.018500000000000003,-0.0060999999999999995,-0.009399999999999999,0.00722243,1.8045667233288718,1.8045667233288718,0.0,-0.023146274024927416
142,20170731,201707,0.0125,0.0034000000000000002,-0.008199999999999999,0.007343431,1.8178184345465336,1.8178184345465336,0.0,-0.023146274024927416
143,20170801,201708,-0.026699999999999998,-0.0015,0.0,-0.001255572,1.815536032619033,1.8178184345465336,-0.001255572000000038,-0.023146274024927416
144,20170802,201708,0.0116,0.0,0.0,2.8535999999999996e-05,1.81558784075526,1.8178184345465336,-0.0012270718290026128,-0.023146274024927416
145,20170803,201708,0.0078000000000000005,0.0088,0.004699999999999999,0.007960039,1.8300399907755978,1.8300399907755978,0.0,-0.023146274024927416
146,20170804,201708,0.0144,-0.0003,-0.0008,-0.000365986,1.8293702217595338,1.8300399907755978,-0.00036598600000004033,-0.023146274024927416
147,20170807,201708,-0.0012,0.0,0.0108,0.00220338,1.8334010195187544,1.8334010195187544,0.0,-0.023146274024927416
148,20170808,201708,-0.0085,0.0034000000000000002,0.0001,0.0026966030000000005,1.8383449742081917,1.8383449742081917,0.0,-0.023146274024927416
149,20170809,201708,0.0096,0.0033,-0.0012,0.002396226,1.8427500642323584,1.8427500642323584,0.0,-0.023146274024927416
150,20170810,201708,-0.0222,-0.0009,-0.006,-0.001994286,1.8390750935777609,1.8427500642323584,-0.0019942859999999563,-0.023146274024927416
151,20170811,201708,-0.025699999999999997,0.0101,0.011200000000000002,0.010236752,1.8579012492200933,1.8579012492200933,0.0,-0.023146274024927416
152,20170814,201708,-0.005,-0.003,0.004699999999999999,-0.0014319169999999996,1.8552408888370138,1.8579012492200933,-0.0014319170000000048,-0.023146274024927416
153,20170816,201708,0.003,0.0172,0.0079,0.015265343,1.8835617773527358,1.8835617773527358,0.0,-0.023146274024927416
154,20170817,201708,0.0058,-0.015,-0.0139,-0.014724263,1.8558277183662468,1.8835617773527358,-0.01472426299999996,-0.023146274024927416
155,20170818,201708,-0.0054,0.0143,0.0206,0.015538707999999998,1.8846648833802462,1.8846648833802462,0.0,-0.023146274024927416
156,20170821,201708,0.0015,-0.0037,0.0006,-0.002808798,1.8793712404251375,1.8846648833802462,-0.0028087980000000012,-0.023146274024927416
157,20170822,201708,0.0066,-0.0028000000000000004,-0.0028000000000000004,-0.002776904,1.874152406910116,1.8846648833802462,-0.005577902237598575,-0.023146274024927416
158,20170823,201708,-0.0007000000000000001,0.0024,0.0021,0.002331111,1.8785212642015405,1.8846648833802462,-0.0032597939468616,-0.023146274024927416
159,20170824,201708,0.0126,0.0229,0.009300000000000001,0.020096547,1.9162730550780664,1.9162730550780664,0.0,-0.023146274024927416
160,20170825,201708,-0.0066,0.006999999999999999,0.010700000000000001,0.007722486999999999,1.9310714488343568,1.9310714488343568,0.0,-0.023146274024927416
161,20170828,201708,-0.0066,-0.0011,-0.0019,-0.001276973,1.9286055227331245,1.9310714488343568,-0.001276972999999959,-0.023146274024927416
162,20170829,201708,-0.004,0.0075,-0.0092,0.004060141999999999,1.936435935017405,1.936435935017405,0.0,-0.023146274024927416
163,20170830,201708,-0.006,0.009300000000000001,0.0096,0.009323742000000001,1.9544907640750362,1.9544907640750362,0.0,-0.023146274024927416
164,20170831,201708,0.0181,0.015600000000000001,0.022000000000000002,0.016913762,1.9875485556897994,1.9875485556897994,0.0,-0.023146274024927416
165,20170901,201709,0.0095,0.0070999999999999995,0.006,0.008719143,2.004878275766302,2.004878275766302,0.0,-0.023146274024927416
166,20170904,201709,0.020099999999999996,0.0059,0.0144,0.015526004999999999,2.0360060259002406,2.0360060259002406,0.0,-0.023146274024927416
