날짜,매수 종목수,매도 종목수,남은 종목수,일일수익률,누적수익률,총자산,남은 현금
20170102,4,1,3,0.85,0.85,10085280.00,5648868.00
20170103,3,2,4,-0.19,0.66,10066015.00,4156826.00
20170104,2,5,1,0.97,1.63,10163250.00,8660350.00
20170105,5,1,5,0.93,2.58,10257802.00,2626560.00
20170106,0,5,0,0.64,3.23,10322959.00,10322959.00
20170109,2,0,2,0.68,3.93,10393015.00,7268355.00
20170110,3,2,3,0.13,4.06,10406273.00,5761298.00
20170111,3,3,3,0.27,4.34,10434475.00,5801055.00
20170112,3,4,2,0.51,4.88,10487701.00,7444801.00
20170113,3,2,3,0.83,5.75,10574718.00,5835112.00
20170116,3,4,2,-1.85,3.79,10378590.00,7260085.00
20170117,3,2,3,1.08,4.91,10491143.00,5781398.00
20170118,3,2,4,-1.27,3.57,10357458.00,4260768.00
20170119,2,4,2,-0.24,3.33,10332649.00,7291849.00
20170120,2,2,2,0.06,3.39,10338561.00,7322896.00
20170123,2,2,2,-0.68,2.69,10268704.00,7283598.00
20170124,4,3,4,-2.15,0.48,10047768.00,4332578.00
20170125,1,4,2,-0.01,0.47,10047254.00,7115010.00
20170126,4,3,3,1.07,1.55,10154808.00,5679568.00
20170131,3,4,2,1.89,3.47,10346779.00,7236749.00
20170201,1,2,1,0.27,3.75,10374568.00,8780818.00
20170202,4,1,4,-0.35,3.38,10337802.00,4245097.00
20170203,2,5,1,0.92,4.33,10432540.00,8884440.00
20170206,2,2,1,0.80,5.16,10516360.00,9008860.00
20170207,3,1,3,0.45,5.64,10563877.00,5955867.00
20170208,3,3,3,-2.05,3.47,10347341.00,5940496.00
20170209,2,4,1,1.15,4.66,10466093.00,8924333.00
20170210,3,1,3,-0.26,4.39,10438747.00,5849167.00
20170213,2,3,2,0.57,4.98,10497800.00,7330525.00
20170214,4,2,4,1.99,7.07,10706622.00,4422017.00
20170215,2,4,2,0.76,7.88,10787751.00,7572641.00
20170216,4,2,4,-0.74,7.08,10707764.00,4427408.00
20170217,2,3,3,-0.16,6.91,10690726.00,5934471.00
20170220,1,3,1,0.84,7.81,10780509.00,9116429.00
20170221,4,1,4,-0.24,7.55,10754936.00,4390916.00
20170222,1,4,1,0.82,8.43,10842804.00,9172044.00
20170223,2,1,2,0.20,8.65,10864818.00,7625118.00
20170224,2,2,2,-0.32,8.30,10830177.00,7673507.00
20170227,0,2,0,-0.06,8.24,10824036.00,10824036.00
20170228,4,0,4,-0.01,8.23,10822706.00,4461747.00
20170302,0,4,0,0.14,8.38,10838057.00,10838057.00
20170303,6,0,6,1.80,10.33,11033302.00,1228672.00
20170306,0,6,0,0.37,10.74,11074266.00,11074266.00
20170307,5,0,5,1.43,12.33,11232511.00,2914048.00
20170308,0,4,1,-0.46,11.80,11180479.00,9583183.00
20170309,2,1,3,-1.05,10.64,11063548.00,7228922.00
20170310,4,5,2,-0.35,10.25,11024874.00,7691264.00
20170313,2,2,2,0.24,10.52,11051748.00,7782595.00
20170314,2,2,2,0.76,11.35,11135279.00,7782474.00
20170315,4,3,3,1.17,12.65,11265091.00,6322736.00
20170316,1,3,1,0.86,13.62,11361727.00,9683002.00
20170317,2,2,1,1.19,14.97,11497333.00,9781333.00
20170320,3,1,3,-1.22,13.58,11357567.00,6396241.00
20170321,2,3,2,0.35,13.97,11397371.00,7988661.00
20170322,4,2,4,2.15,16.42,11642398.00,4739638.00
20170323,0,3,1,-0.51,15.84,11583524.00,9879854.00
20170324,4,2,3,2.32,18.52,11852030.00,6674100.00
20170327,3,2,4,-0.59,17.82,11781833.00,4875893.00
20170328,2,3,3,0.39,18.28,11828238.00,6549913.00
20170329,2,2,3,-0.36,17.85,11785171.00,6608306.00
20170330,2,3,2,1.22,19.29,11929119.00,8303685.00
20170331,3,3,2,1.41,20.97,12097261.00,8551161.00
20170403,3,3,2,2.03,23.43,12342512.00,8695162.00
20170404,4,2,4,-1.48,21.60,12160193.00,5035521.00
20170405,0,4,0,0.19,21.83,12182960.00,12182960.00
20170406,3,2,1,1.54,23.71,12370798.00,10605963.00
20170407,3,1,3,-0.74,22.80,12279644.00,6890344.00
20170410,3,4,2,-0.43,22.27,12227100.00,8680415.00
20170411,3,2,3,0.07,22.35,12235206.00,6806566.00
20170412,2,3,2,-0.76,21.42,12141761.00,8658662.00
20170413,4,2,4,0.02,21.44,12143767.00,4879494.00
20170414,2,4,2,0.44,21.97,12197232.00,8616732.00
20170417,4,2,4,0.76,22.90,12289769.00,5023959.00
20170418,2,4,3,-0.01,22.89,12289052.00,8605220.00
20170419,4,5,2,1.68,24.96,12495586.00,8986626.00
20170420,4,3,3,-0.11,24.82,12481926.00,7065451.00
20170421,2,3,2,0.54,25.50,12549843.00,8805233.00
20170424,2,2,2,-0.49,24.88,12488234.00,8918214.00
20170425,2,3,1,1.28,26.48,12647647.00,10810237.00
20170426,2,1,2,0.18,26.71,12670734.00,8908444.00
20170427,4,2,4,-0.16,26.50,12649863.00,5151890.00
20170428,2,4,2,-0.11,26.36,12636434.00,8902754.00
20170502,4,2,4,1.02,27.66,12765711.00,5153526.00
20170504,1,5,0,-1.30,26.00,12600187.00,12600187.00
20170508,2,0,2,-0.18,25.77,12577477.00,8861337.00
20170510,4,1,5,0.61,26.54,12653660.00,3256650.00
20170511,1,5,1,0.08,26.63,12663474.00,10759047.00
20170512,5,2,5,0.83,27.69,12768933.00,3558535.00
20170515,0,5,1,-0.72,26.76,12676456.00,11786056.00
20170516,4,2,4,1.88,29.15,12914980.00,7133211.00
20170517,1,4,1,0.20,29.41,12941290.00,11006890.00
20170518,2,0,3,-0.39,28.91,12891370.00,7192685.00
20170519,1,3,1,0.07,29.00,12899977.00,11004527.00
20170522,4,1,4,-0.70,28.10,12809808.00,5242368.00
20170523,2,5,1,0.49,28.72,12872209.00,11045549.00
20170524,4,1,4,0.95,29.94,12994482.00,5251207.00
20170525,1,4,1,-0.13,29.77,12977331.00,11104131.00
20170526,5,2,4,0.64,30.61,13060788.00,5419290.00
20170529,2,4,2,1.64,32.76,13275618.00,9317118.00
20170530,3,2,3,-0.16,32.55,13254639.00,7520559.00
20170531,2,3,2,0.82,33.63,13363127.00,9429929.00
20170601,4,3,3,1.98,36.28,13627757.00,7585411.00
20170602,2,3,2,0.05,36.35,13634556.00,9560516.00
20170605,2,2,2,0.86,37.52,13751555.00,9610620.00
20170607,3,3,2,2.35,40.75,14074902.00,9922527.00
20170608,2,2,2,0.74,41.79,14178793.00,9919923.00
20170609,2,2,2,0.73,42.82,14282499.00,9965555.00
20170612,3,2,3,0.47,43.50,14349862.00,7905807.00
20170613,2,3,2,0.36,44.02,14401874.00,10106479.00
20170614,3,2,3,1.79,46.59,14658986.00,7992524.00
20170615,3,3,3,-0.49,45.87,14586917.00,8137657.00
20170616,3,4,2,1.95,48.71,14871191.00,10409801.00
20170619,0,2,0,0.15,48.93,14892809.00,14892809.00
20170620,4,0,4,-1.59,46.56,14656369.00,6054689.00
20170621,1,4,1,0.18,46.82,14682135.00,12523495.00
20170622,5,1,5,1.86,49.55,14954888.00,3857728.00
20170623,1,5,1,-0.41,48.93,14893383.00,12741383.00
20170626,3,3,1,2.18,52.18,15217702.00,12972202.00
20170627,4,1,4,1.39,54.29,15428520.00,6555896.00
20170628,2,4,2,-0.90,52.89,15289166.00,10872086.00
20170629,3,3,2,1.93,55.84,15583913.00,10940563.00
20170630,3,2,3,-1.46,53.57,15356970.00,8639085.00
20170703,2,2,3,-0.15,53.34,15333663.00,8586453.00
20170704,3,4,2,1.27,55.29,15528741.00,10968891.00
20170705,2,2,2,0.43,55.96,15596222.00,10919085.00
20170706,4,2,4,0.65,56.97,15697115.00,6362385.00
20170707,1,4,1,0.22,57.31,15731413.00,13396333.00
20170710,3,1,3,1.34,59.42,15942427.00,8751086.00
20170711,3,3,3,-0.42,58.76,15875652.00,8862509.00
20170712,1,3,1,0.65,59.79,15978913.00,13752913.00
20170713,5,1,5,0.53,60.64,16064278.00,4021713.00
20170714,1,5,2,-0.45,59.92,15991843.00,12239463.00
20170717,2,2,3,0.85,61.28,16128214.00,9999174.00
20170718,1,3,1,-1.17,59.39,15939392.00,13811392.00
20170719,5,2,4,1.08,61.11,16110882.00,6572366.00
20170720,2,4,2,0.95,62.64,16264324.00,11485614.00
20170721,0,2,0,-0.08,62.52,16252045.00,16252045.00
20170724,3,3,0,2.79,67.06,16706058.00,16706058.00
20170725,4,0,4,-0.20,66.73,16673296.00,6795746.00
20170726,2,3,3,-0.32,66.19,16619195.00,9339829.00
20170727,2,3,2,-0.34,65.62,16561959.00,11614569.00
20170728,4,3,3,1.85,68.68,16868471.00,9442771.00
20170731,2,3,2,1.25,70.79,17078542.00,12101602.00
20170801,2,2,2,-2.67,66.23,16623310.00,11950630.00
20170802,2,2,2,1.16,68.17,16816599.00,12107292.00
20170803,4,3,3,0.78,69.47,16947494.00,9325734.00
20170804,2,4,1,1.44,71.92,17191855.00,14558230.00
20170807,0,1,0,-0.12,71.72,17171514.00,17171514.00
20170808,5,0,5,-0.85,70.26,17025935.00,4467989.00
20170809,1,6,0,0.96,71.90,17189976.00,17189976.00
20170810,5,0,5,-2.22,68.08,16807700.00,4495185.00
20170811,1,4,4,-2.57,63.76,16376169.00,7489309.00
20170814,3,3,4,-0.50,62.94,16294129.00,6662204.00
20170816,2,4,2,0.30,63.43,16342977.00,11431297.00
20170817,3,2,3,0.58,64.37,16437162.00,9128866.00
20170818,2,2,3,-0.54,63.48,16347697.00,9107054.00
20170821,1,3,2,0.15,63.72,16371548.00,13866116.00
20170822,4,3,3,0.66,64.79,16478953.00,9271489.00
20170823,2,3,2,-0.07,64.67,16466765.00,11598985.00
20170824,4,2,4,1.26,66.74,16673663.00,6720443.00
20170825,2,4,2,-0.66,65.64,16563806.00,11685598.00
20170828,2,2,2,-0.66,64.55,16455043.00,11666223.00
20170829,4,1,5,-0.40,63.89,16388607.00,4268748.00
20170830,1,5,2,-0.60,62.90,16289582.00,11868732.00
20170831,4,3,3,1.81,65.84,16583899.00,9257684.00
20170901,3,3,3,0.95,67.41,16740883.00,9247167.00
20170904,3,5,1,2.01,70.77,17077080.00,14691630.00
20170905,2,1,2,0.67,71.92,17191847.00,12001547.00
20170906,4,2,4,1.04,73.70,17370378.00,6994814.00
20170907,2,4,2,0.95,75.36,17535702.00,12345739.00
20170908,4,2,4,-0.03,75.31,17530538.00,7160933.00
20170911,0,4,0,1.07,77.18,17717932.00,17717932.00
20170912,5,0,5,0.45,77.97,17797257.00,4605890.00
20170913,1,4,2,-0.41,77.24,17724488.00,12469608.00
20170914,3,3,2,1.40,79.73,17973004.00,12624938.00
20170915,4,2,4,-0.75,78.38,17838480.00,7321756.00
20170918,1,4,1,0.24,78.82,17881533.00,15127333.00
20170919,5,2,4,0.79,80.23,18022720.00,7553340.00
20170920,1,3,3,0.25,80.68,18067619.00,12465469.00
20170921,2,4,1,0.16,80.96,18095765.00,15616085.00
20170922,5,3,3,0.63,82.09,18209341.00,10312046.00
20170925,2,4,1,1.40,84.64,18464209.00,15678349.00
20170926,3,2,2,1.11,86.69,18668579.00,13224479.00
20170927,3,3,2,0.96,88.47,18847074.00,13321734.00
20170928,0,2,0,-0.10,88.29,18828841.00,18828841.00
